rank,ticker,tradability_score,binary_score,score_liq,pass_liq,score_stab,pass_stab,score_spread,pass_spread,score_range,pass_range,score_vol,pass_vol,median_dollar_vol,cv_dollar_vol,cs_spread,range_median,vol_median,flags
659,BGY,49.7,4,20.588235294117645,1,43.05555555555556,1,86.43790849673204,1,11.683006535947712,0,86.60130718954248,1,1266705,0.7533,0.001685,0.0105,0.1168,NO_SIGNAL
660,JBGS,49.6,4,82.02614379084967,1,31.862745098039213,1,28.83986928104575,0,45.54738562091503,1,59.681372549019606,1,13292930,0.8748,0.0068,0.0277,0.2835,WIDE_SPREAD|NO_SIGNAL
661,SVV,49.6,4,73.36601307189542,1,35.94771241830066,1,32.59803921568627,0,72.79411764705883,1,33.251633986928105,1,9085776,0.8203,0.0063,0.0411,0.4406,WIDE_SPREAD|NO_SIGNAL|FAT_TAIL
662,GHM,49.6,4,59.47712418300654,1,69.11764705882352,1,16.176470588235293,0,75.53104575163398,1,27.696078431372552,1,5578745,0.5861,0.009342,0.043,0.4817,WIDE_SPREAD|FAT_TAIL
663,STEL,49.5,4,67.48366013071896,1,20.261437908496728,1,63.725490196078425,1,22.875816993464053,0,73.20261437908498,1,7336273,1.1181,0.00362,0.0196,0.23,FAT_TAIL
664,JRI,49.5,4,24.18300653594771,1,31.781045751633986,1,92.85130718954248,1,11.56045751633987,0,87.25490196078431,1,1501759,0.8749,0.001124,0.0104,0.1124,FAT_TAIL
665,HROW,49.4,4,89.62418300653596,1,46.364379084967325,1,12.00980392156863,0,82.47549019607843,1,16.584967320261434,1,19044964,0.7241,0.010611,0.0498,0.5879,WIDE_SPREAD|NO_SIGNAL|FAT_TAIL
666,HZO,49.4,4,68.79084967320262,1,55.841503267973856,1,28.022875816993466,0,74.63235294117648,1,19.64869281045751,1,7673721,0.6544,0.006905,0.0425,0.5553,WIDE_SPREAD|FAT_TAIL
667,MCB,49.4,4,65.68627450980392,1,26.879084967320267,1,44.68954248366013,0,48.32516339869281,1,61.47875816993464,1,6924046,0.9674,0.005211,0.0288,0.2776,WIDE_SPREAD|FAT_TAIL
668,AXGN,49.3,4,87.25490196078431,1,43.13725490196079,1,12.418300653594772,0,77.49183006535948,1,26.062091503267972,1,17132445,0.7531,0.010496,0.0449,0.4965,WIDE_SPREAD|FAT_TAIL
669,COHU,49.3,4,76.06209150326796,1,28.921568627450977,1,44.0359477124183,0,68.25980392156863,1,29.166666666666664,1,10276985,0.9249,0.005297,0.039,0.4703,WIDE_SPREAD
670,ASTH,49.2,4,73.8562091503268,1,63.56209150326797,1,14.215686274509808,0,77.00163398692811,1,17.279411764705888,1,9494655,0.616,0.009896,0.0444,0.5788,WIDE_SPREAD|NO_SIGNAL|FAT_TAIL
671,CRNC,49.1,4,76.47058823529412,1,27.61437908496732,1,48.93790849673203,1,87.90849673202614,1,4.493464052287576,0,10615671,0.9422,0.004836,0.0592,0.8739,NO_SIGNAL|FAT_TAIL
